"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061135","endopeptidase regulator activity","36/1487","184/18496",0.195652173913043,2.43361305224993,5.77851479462779,4.82254597630007e-07,1.47734579176412e-05,1.47734579176412e-05,"SERPINE1/SERPINH1/PTTG1/PAPLN/FETUB/SERPINA7/SERPING1/CST1/SPP2/SERPINA3/PI3/PCSK1N/SERPINA5/SERPINA4/SERPINF2/HRG/AHSG/ITIH1/KNG1/SERPIND1/SERPINA11/ITIH2/C5/SPOCK1/SERPINF1/LPA/BST2/SERPINC1/SPINK1/FURIN/GBP2/AMBP/PROS1/A2M/SERPINA10/SLCO1B3",36
"GO:0004745","NAD-retinol dehydrogenase activity","10/1487","20/18496",0.5,6.21923335574983,6.90495730334612,9.55603161581744e-07,2.85770850225398e-05,2.85770850225398e-05,"HSD17B6/ADH1B/HSD17B13/ADH4/RDH5/ADH1C/AKR1C3/ADH6/ADH1A/RDH16",10
"GO:0016830","carbon-carbon lyase activity","16/1487","50/18496",0.32,3.98030934767989,6.23933790571507,9.97433211265455e-07,2.91343282174282e-05,2.91343282174282e-05,"ME1/CLYBL/PCK1/CSAD/ODC1/PCK2/DDC/NPL/ACMSD/FAHD1/GOT1/CYP17A1/AZIN1/ALDOB/HMGCL/HOGA1",16
"GO:0048029","monosaccharide binding","20/1487","75/18496",0.266666666666667,3.31692445639991,5.94468936353937,1.22592789100086e-06,3.49946688885699e-05,3.49946688885699e-05,"PKLR/COLEC10/FUOM/ASGR2/FBP1/GALK1/UGP2/DBH/COLEC11/G6PD/CLEC4G/P3H2/MBL2/HKDC1/SLC2A5/COLEC12/P4HA2/PLOD2/P4HTM/ALDOB",20
"GO:0071949","FAD binding","14/1487","40/18496",0.35,4.35346334902488,6.27766347082579,1.39749371767777e-06,3.90056024311841e-05,3.90056024311841e-05,"STEAP3/ACOX2/DAO/QSOX1/KMO/PRODH/CRY2/AOX1/XDH/TXNRD1/LDHD/SQLE/PRODH2/NQO2",14
"GO:0018455","alcohol dehydrogenase [NAD(P)+] activity","7/1487","10/18496",0.7,8.70692669804976,7.20780478079834,2.06855879223258e-06,5.64806487618288e-05,5.64806487618288e-05,"ADH1B/ADH4/ADH1C/DHRS4/ADH6/ADHFE1/ADH1A",7
"GO:0061134","peptidase regulator activity","40/1487","228/18496",0.175438596491228,2.18218714236836,5.3106956736503,2.161869811185e-06,5.77725209116672e-05,5.77725209116671e-05,"SERPINE1/SERPINH1/PTTG1/GPC3/PAPLN/FETUB/SERPINA7/SERPING1/CST1/SPP2/SERPINA3/PI3/PCSK1N/SERPINA5/SERPINA4/SERPINF2/HRG/AHSG/ITIH1/KNG1/SERPIND1/SERPINA11/ITIH2/PCOLCE/C5/SPOCK1/SERPINF1/LPA/BST2/BEX3/SERPINC1/SPINK1/FURIN/GBP2/AMBP/CTSV/PROS1/A2M/SERPINA10/SLCO1B3",40
"GO:0004252","serine-type endopeptidase activity","33/1487","174/18496",0.189655172413793,2.35901954873269,5.32546028329105,2.92022843480265e-06,7.59926727903322e-05,7.59926727903322e-05,"F7/F11/HABP2/F12/MMP12/HPN/MASP1/BMP1/C1R/PCSK6/F2/MMP11/C1RL/C2/F9/PCSK9/KLKB1/PROC/LPA/MASP2/CFI/PROZ/PRSS8/TMPRSS6/PRSS3/MMP9/FURIN/F10/TMPRSS2/HGFAC/PLG/CTSV/HPR",33
"GO:0033293","monocarboxylic acid binding","20/1487","79/18496",0.253164556962025,3.14897891430371,5.65951893586782,2.96468229834895e-06,7.59926727903322e-05,7.59926727903322e-05,"ACOX2/DBT/ACACB/RXRA/RBP5/PLA2G1B/SERPINA5/NR2F2/FABP1/AKR1C3/CYP4F11/PC/GSTM2/RBP1/PCCA/AKR1C4/CYP26A1/FABP5/SCP2/FABP4",20
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","17/1487","60/18496",0.283333333333333,3.5242322349249,5.79048372679926,3.08360190667756e-06,7.74600798957403e-05,7.74600798957403e-05,"ACOX2/BLVRB/SRD5A2/AKR1D1/ACADS/TM7SF2/DECR2/ACADSB/AKR1C3/ACAA1/SRD5A1/GCDH/ACADL/IVD/PECR/BLVRA/ACAD11",17
